UID,WID,Understand,attempt
10000001,22,4,1
10000001,32,4,1
10000001,45,2,1
10000001,46,2,1
10000001,54,2,1
10000001,58,4,1
10000001,59,2,1
10000001,60,2,1
10000001,61,2,1
10000001,67,2,1
10000001,68,2,1
10000001,76,2,1
10000001,89,2,1
10000001,92,2,1
10000001,99,2,1
10000001,127,4,1
10000001,129,4,1
10000001,138,2,1
10000001,139,4,1
10000001,141,4,1
10000001,143,4,1
10000001,147,4,1
10000001,160,4,1
10000001,161,4,1
10000001,163,4,1
10000001,176,2,1
10000001,181,4,1
10000001,184,4,1
10000001,186,4,1
10000001,191,4,1
