UID,WID,Understand,attempt
30914025,22,4,1
30914025,32,4,1
30914025,45,2,1
30914025,46,4,1
30914025,54,4,1
30914025,58,2,1
30914025,59,2,1
30914025,60,4,1
30914025,61,4,1
30914025,67,4,1
30914025,68,4,1
30914025,76,2,1
30914025,89,2,1
30914025,92,4,1
30914025,99,4,1
30914025,127,2,1
30914025,129,4,1
30914025,138,2,1
30914025,139,4,1
30914025,141,2,1
30914025,143,4,1
30914025,147,2,1
30914025,160,2,1
30914025,161,2,1
30914025,162,2,1
30914025,176,2,1
30914025,181,2,1
30914025,184,2,1
30914025,186,2,1
30914025,191,2,1
