uid,name,wid,distance,averageSpeed
30914025,30914025,22,3641.94,0.266848
30914025,30914025,32,3575.9,0.167036
30914025,30914025,45,11684.1,0.142227
30914025,30914025,46,4072.9,0.106685
30914025,30914025,54,10249.8,0.203745
30914025,30914025,58,9502.1,0.103645
30914025,30914025,59,5951.24,0.135218
30914025,30914025,60,9681.93,0.195059
30914025,30914025,61,9222.05,0.165787
30914025,30914025,67,6146.82,0.17335
30914025,30914025,68,4233,0.134757
30914025,30914025,76,16232.6,0.121201
30914025,30914025,89,9736.32,0.177748
30914025,30914025,92,12246.1,0.131384
30914025,30914025,99,9053.35,0.210837
30914025,30914025,127,13199.7,0.17858
30914025,30914025,129,5555.18,0.199726
30914025,30914025,138,11151.4,0.236895
30914025,30914025,139,11474.4,0.187215
30914025,30914025,141,11335.7,0.180439
30914025,30914025,143,7381.55,0.19561
30914025,30914025,147,15239.6,0.114723
30914025,30914025,160,16377.5,0.135264
30914025,30914025,161,22357.9,0.140552
30914025,30914025,162,15015.7,0.103341
30914025,30914025,176,9139.83,0.152087
30914025,30914025,181,14117.3,0.106095
30914025,30914025,184,7213.93,0.117979
30914025,30914025,186,10190.7,0.139951
30914025,30914025,191,8584.79,0.157141
30914026,30914026,22,3346.27,0.15182
30914026,30914026,32,3284.45,0.105423
30914026,30914026,45,7149.47,0.136921
30914026,30914026,46,6044.17,0.104643
30914026,30914026,54,4541.5,0.208555
30914026,30914026,58,10654,0.107374
30914026,30914026,59,3408.35,0.128787
30914026,30914026,60,3917.24,0.0997108
30914026,30914026,61,7559.79,0.0872441
30914026,30914026,67,5277.14,0.147205
30914026,30914026,68,4703.98,0.13029
30914026,30914026,76,10898.6,0.141304
30914026,30914026,89,6024.73,0.100055
30914026,30914026,92,4438.65,0.108495
30914026,30914026,99,11428,0.0677516
30914026,30914026,127,14470.3,0.0892533
30914026,30914026,129,8403.29,0.0915631
30914026,30914026,138,4797.03,0.0937066
30914026,30914026,139,10662.1,0.12574
30914026,30914026,141,7050.31,0.0900733
30914026,30914026,143,3665.46,0.169847
30914026,30914026,147,12700.3,0.102014
30914026,30914026,160,14743.1,0.140238
30914026,30914026,161,31621.2,0.121427
30914026,30914026,162,2745.38,0.203286
30914026,30914026,176,4511.62,0.13773
30914026,30914026,181,8575.24,0.168764
30914026,30914026,184,11052.4,0.0784072
30914026,30914026,186,6333.89,0.096646
30914026,30914026,191,3532.32,0.168142
30914904,30914904,22,3740.52,0.298097
30914904,30914904,32,3308.5,0.197664
30914904,30914904,45,3848.32,0.182723
30914904,30914904,46,4798.48,0.154029
30914904,30914904,54,13546.7,0.180452
30914904,30914904,58,7990.22,0.165019
30914904,30914904,59,5525.64,0.181764
30914904,30914904,60,6008.58,0.16452
30914904,30914904,61,5375.38,0.181123
30914904,30914904,67,9616.37,0.247755
30914904,30914904,68,6057.98,0.202324
30914904,30914904,76,10039,0.110397
30914904,30914904,89,6354.36,0.279878
30914904,30914904,92,9033.13,0.150434
30914904,30914904,99,4815.26,0.211492
30914904,30914904,127,7703.74,0.161271
30914904,30914904,129,4763.05,0.149176
30914904,30914904,138,8042.01,0.178553
30914904,30914904,139,8273.19,0.166108
30914904,30914904,141,9167.04,0.101235
30914904,30914904,143,3415.29,0.283874
30914904,30914904,147,8997.96,0.179374
30914904,30914904,160,7837.3,0.139556
30914904,30914904,161,10919.2,0.0998237
30914904,30914904,162,4424.41,0.167224
30914904,30914904,176,5626.41,0.162613
30914904,30914904,181,3850.83,0.249552
30914904,30914904,184,5109.52,0.14441
30914904,30914904,186,9454.88,0.180872
30914904,30914904,191,6078.2,0.187813
60910014,60910014,22,3114.37,0.231621
60910014,60910014,32,3568.55,0.156894
60910014,60910014,45,5605.17,0.168435
60910014,60910014,46,3286.16,0.132828
60910014,60910014,54,4747.68,0.23919
60910014,60910014,58,4520.46,0.151979
60910014,60910014,59,4493,0.0897452
60910014,60910014,60,3500.96,0.133864
60910014,60910014,61,5121.79,0.160724
60910014,60910014,67,2959.89,0.231857
60910014,60910014,68,3887.64,0.200549
60910014,60910014,76,4478.23,0.0733522
60910014,60910014,89,8867.1,0.135025
60910014,60910014,92,4281.52,0.182963
60910014,60910014,99,3843.55,0.143748
60910014,60910014,127,10740.4,0.120464
60910014,60910014,129,5317.49,0.216307
60910014,60910014,138,3658.92,0.14481
60910014,60910014,139,6989.96,0.135627
60910014,60910014,141,5233.07,0.163437
60910014,60910014,143,2688.38,0.210655
60910014,60910014,147,9162,0.109289
60910014,60910014,160,4812.08,0.122895
60910014,60910014,161,10405.8,0.129943
60910014,60910014,162,2823.49,0.152514
60910014,60910014,176,7162.89,0.0970542
60910014,60910014,181,6234.33,0.145716
60910014,60910014,184,4293.87,0.186812
60910014,60910014,186,4931.94,0.178732
60910014,60910014,191,3174.23,0.181821
60910020,60910020,22,3682.13,0.256523
60910020,60910020,32,3626.12,0.202441
60910020,60910020,45,4928.63,0.165791
60910020,60910020,46,4024.18,0.119006
60910020,60910020,54,4785.33,0.243938
60910020,60910020,58,8624.51,0.131632
60910020,60910020,59,4467.99,0.102816
60910020,60910020,60,4522.81,0.141056
