UID,WID,Predicted_Understand
60910014,22,4
60910014,32,4
60910014,45,2
60910014,46,4
60910014,54,4
60910014,58,4
60910014,59,2
60910014,60,4
60910014,61,4
60910014,67,4
60910014,68,4
60910014,76,2
60910014,89,2
60910014,92,4
60910014,99,4
60910014,127,2
60910014,129,4
60910014,138,4
60910014,139,2
60910014,141,4
60910014,143,4
60910014,147,2
60910014,160,4
60910014,161,2
60910014,162,4
60910014,176,2
60910014,181,4
60910014,184,2
60910014,186,4
60910014,191,4
60910020,22,4
60910020,32,4
60910020,45,4
60910020,46,4
60910020,54,4
60910020,58,2
60910020,59,4
60910020,60,4
60910020,61,4
60910020,67,4
60910020,68,4
60910020,76,2
60910020,89,4
60910020,92,4
60910020,99,4
60910020,127,2
60910020,129,4
60910020,138,4
60910020,139,4
60910020,141,2
60910020,143,4
60910020,147,4
60910020,160,4
60910020,161,4
60910020,162,4
60910020,176,2
60910020,181,4
60910020,184,4
60910020,186,4
60910020,191,4
