UID,WID,Understand,attempt
60911065,22,4,1
60911065,32,4,1
60911065,45,2,1
60911065,46,4,1
60911065,54,4,1
60911065,58,4,1
60911065,59,4,1
60911065,60,4,1
60911065,61,4,1
60911065,67,4,1
60911065,68,2,1
60911065,76,2,1
60911065,89,4,1
60911065,92,2,1
60911065,99,2,1
60911065,127,4,1
60911065,129,4,1
60911065,138,4,1
60911065,139,2,1
60911065,141,2,1
60911065,143,4,1
60911065,147,2,1
60911065,160,2,1
60911065,161,2,1
60911065,162,4,1
60911065,176,4,1
60911065,181,2,1
60911065,184,2,1
60911065,186,2,1
60911065,191,2,1
