UID,WID,Understand,attempt
60910044,22,4,1
60910044,32,4,1
60910044,45,2,1
60910044,46,2,1
60910044,54,2,1
60910044,58,2,1
60910044,59,2,1
60910044,60,4,1
60910044,61,2,1
60910044,67,4,1
60910044,68,4,1
60910044,76,2,1
60910044,89,2,1
60910044,92,4,1
60910044,99,2,1
60910044,127,2,1
60910044,129,2,1
60910044,138,2,1
60910044,139,2,1
60910044,141,2,1
60910044,143,4,1
60910044,147,2,1
60910044,160,2,1
60910044,161,2,1
60910044,162,2,1
60910044,176,2,1
60910044,181,2,1
60910044,184,2,1
60910044,186,2,1
60910044,191,2,1
60910046,22,4,1
60910046,32,4,1
60910046,45,2,1
60910046,46,4,1
60910046,54,4,1
60910046,58,2,1
60910046,59,4,1
60910046,60,4,1
60910046,61,2,1
60910046,67,4,1
60910046,68,4,1
60910046,76,4,1
60910046,89,2,1
60910046,92,4,1
60910046,99,4,1
60910046,127,2,1
60910046,129,2,1
60910046,138,2,1
60910046,139,2,1
60910046,141,2,1
60910046,143,4,1
60910046,147,2,1
60910046,160,2,1
60910046,161,2,1
60910046,162,4,1
60910046,176,4,1
60910046,181,4,1
60910046,184,2,1
60910046,186,2,1
60910046,191,4,1
60910090,22,4,1
60910090,32,4,1
60910090,45,2,1
60910090,46,4,1
60910090,54,4,1
60910090,58,4,1
60910090,59,2,1
60910090,60,4,1
60910090,61,4,1
60910090,67,4,1
60910090,68,4,1
60910090,76,2,1
60910090,89,4,1
60910090,92,2,1
60910090,99,4,1
60910090,127,4,1
60910090,129,2,1
60910090,138,2,1
60910090,139,2,1
60910090,141,2,1
60910090,143,4,1
60910090,147,2,1
60910090,160,2,1
60910090,161,2,1
60910090,162,4,1
60910090,176,2,1
60910090,181,4,1
60910090,184,2,1
60910090,186,4,1
60910090,191,4,1
60910103,22,4,1
60910103,32,4,1
60910103,45,2,1
60910103,46,4,1
60910103,54,4,1
60910103,58,2,1
60910103,59,4,1
60910103,60,2,1
60910103,61,4,1
60910103,67,4,1
60910103,68,4,1
60910103,76,2,1
60910103,89,2,1
60910103,92,4,1
60910103,99,4,1
60910103,127,4,1
60910103,129,4,1
60910103,138,2,1
60910103,139,2,1
60910103,141,2,1
60910103,143,4,1
60910103,147,2,1
60910103,160,2,1
60910103,161,2,1
60910103,162,4,1
60910103,176,2,1
60910103,181,2,1
60910103,184,2,1
60910103,186,2,1
60910103,191,4,1
