UID,WID,Understand,time,distance,averageSpeed,maxSpeed,maxStopTime,xUTurnCount,yUTurnCount,thinkingTime,answeringTime,maxDDTime,DDCount,maxDDIntervalTime,totalDDIntervalTime
60910014,22,4,13446,3114.37,0.231621,2584.32,257,6,11,1798,11648,970,7,1038,4835
60910014,32,3,22745,3568.55,0.156894,3034.97,4143,14,6,1304,21441,945,8,8584,14939
60910014,45,2,33278,5605.17,0.168435,4715.9,599,15,13,2454,30824,1187,11,5152,19814
60910014,46,4,24740,3286.16,0.132828,2377,1480,9,8,1711,23029,1040,7,5200,16555
60910014,54,4,19849,4747.68,0.23919,4330.22,378,13,11,2025,17824,1114,9,2007,8713
60910014,58,4,29744,4520.46,0.151979,2578.28,1292,11,10,10904,18840,1337,9,3590,11010
60910014,59,2,50064,4493,0.0897452,3947.48,4438,12,9,4122,45942,2825,8,18231,33744
60910014,60,4,26153,3500.96,0.133864,3072.21,2097,14,6,5009,21144,1177,8,7967,14510
60910014,61,3,31867,5121.79,0.160724,4740.15,2063,19,10,12107,19760,1770,9,1752,8302
60910014,67,4,12766,2959.89,0.231857,2490.36,254,15,5,2109,10657,865,7,1191,4986
60910014,68,4,19385,3887.64,0.200549,3390.29,404,11,8,3200,16185,1089,9,1735,8453
60910014,76,2,61051,4478.23,0.0733522,3781.34,6075,15,10,12907,48144,2601,8,11846,26931
60910014,89,2,65670,8867.1,0.135025,8519.82,5040,26,22,23678,41992,2226,13,10221,29127
60910014,92,4,23401,4281.52,0.182963,3584.03,1120,14,6,3850,19551,1551,9,3951,11373
60910014,99,4,26738,3843.55,0.143748,3339.04,2119,15,10,13385,13353,1065,8,1047,5869
60910014,127,2,89158,10740.4,0.120464,10425.6,1400,33,20,29758,59400,2203,14,7726,41372
60910014,129,4,24583,5317.49,0.216307,3134.22,1514,17,11,5742,18841,1514,10,1870,9516
60910014,138,4,25267,3658.92,0.14481,3239.88,1590,8,8,2586,22681,1857,9,4512,14121
60910014,139,2,51538,6989.96,0.135627,6570.04,3110,13,12,9610,41928,1961,12,8111,29485
60910014,141,3,32019,5233.07,0.163437,4188.73,760,18,23,7585,24434,1089,15,2703,14511
60910014,143,4,12762,2688.38,0.210655,1124.28,264,11,11,2865,9897,746,7,1148,4963
60910014,147,2,83833,9162,0.109289,7858.22,4767,29,21,13849,69984,2681,15,25711,52768
60910014,160,3,39156,4812.08,0.122895,4124.5,3415,16,7,5318,33838,2992,11,6735,20780
60910014,161,2,80080,10405.8,0.129943,8788.67,4183,28,24,10520,69560,2633,15,11317,52114
60910014,162,4,18513,2823.49,0.152514,2092.06,330,4,6,4712,13801,985,7,3639,8492
60910014,176,2,73803,7162.89,0.0970542,6361.38,5485,21,17,3156,70647,2337,11,13071,52941
60910014,181,4,42784,6234.33,0.145716,5739.2,1231,15,13,3160,39624,1177,11,11671,30063
60910014,184,2,22985,4293.87,0.186812,3819.74,641,9,9,2393,20592,1034,9,5079,13728
60910014,186,4,27594,4931.94,0.178732,4639.51,1294,17,11,7162,20432,897,9,6217,12441
60910014,191,4,17458,3174.23,0.181821,2722.61,336,13,9,2594,14864,1273,8,1376,7170
60910020,22,4,14354,3682.13,0.256523,3080.13,566,10,7,2474,11880,921,7,863,4523
60910020,32,4,17912,3626.12,0.202441,2631.16,696,13,9,2728,15184,1024,8,2119,7113
60910020,45,4,29728,4928.63,0.165791,3930.04,685,24,7,3360,26368,993,9,5838,14821
60910020,46,4,33815,4024.18,0.119006,3373.3,943,12,5,8584,25231,1217,7,8248,14552
60910020,54,4,19617,4785.33,0.243938,4226.41,946,13,12,4169,15448,1311,9,1141,6852
60910020,58,3,65520,8624.51,0.131632,8276.84,3339,15,18,1432,64088,1921,15,13343,46551
60910020,59,4,43456,4467.99,0.102816,3904.12,6857,16,5,1080,42376,2288,8,20703,33743
60910020,60,4,32064,4522.81,0.141056,3727.18,4504,13,14,1072,30992,5130,9,9222,18377
60910020,61,4,18544,4433.95,0.239105,3365.72,790,10,11,736,17808,1043,9,1597,6900
60910020,67,4,18727,2977.5,0.158995,2448.41,1802,14,9,5408,13319,1000,7,1638,5363
60910020,68,4,23424,3789.51,0.161779,3396.47,1391,11,10,2536,20888,1449,9,1248,7011
60910020,76,3,77080,7993.14,0.103699,7565.56,4270,17,14,1265,75815,3233,12,17622,47446
60910020,89,4,84703,10406.6,0.12286,7929.41,2400,31,17,3143,81560,2009,10,22358,38029
60910020,92,4,28089,4923.69,0.175289,4540.69,1358,16,13,6283,21806,2105,9,2863,11669
60910020,99,4,37287,5034.48,0.13502,4182.68,1945,20,10,1408,35879,1945,10,7087,21460
60910020,127,3,145105,15302.8,0.10546,14684.2,20479,37,31,3377,141728,3681,21,50669,113079
60910020,129,4,29673,3825.91,0.128936,3476.03,2949,12,7,1040,28633,1017,9,9414,17546
60910020,138,4,32992,4312.34,0.130709,3508.62,5126,12,9,1856,31136,1571,9,6023,18146
60910020,139,4,40169,5926.25,0.147533,5631.16,10478,15,9,1096,39073,2569,12,12415,27672
60910020,141,3,44089,4925.38,0.111715,4359.15,6117,12,9,4216,39873,1161,9,10959,28809
60910020,143,4,17776,3045.8,0.171343,1964.82,390,11,8,1239,16537,1153,7,7295,10522
