UID,WID,Understand,attempt,time,distance
0,0,2,1,13865,4475.93
4,0,4,4,11810,4321.56
4,4,4,2,5300,1909.01
4,8,4,1,18820,4197.56
5,0,4,1,15289,5462.83
5,0,4,2,5586,1906.41
5,1,4,1,8159,2465.16
5,2,4,1,6808,2211.26
5,4,4,1,5466,1971.16
10000001,0,2,1,13087,3183.7
10000001,4,4,1,26104,4842.65
10000001,14,2,1,20415,4178.06
10000001,22,4,1,24266,3686.9
10000001,32,4,1,23640,5921.76
10000001,39,2,1,26440,5674.9
10000001,45,4,1,64386,10890.4
10000001,46,2,1,44490,5810.84
10000001,54,3,1,60215,10433
10000001,58,2,1,42639,9300.17
10000001,59,3,1,53264,7744.88
10000001,60,3,1,65261,7912.82
10000001,61,4,1,46481,7832.93
10000001,67,4,1,47865,10143.8
10000001,68,4,1,38410,6371.09
10000001,76,4,1,58673,6156.04
10000001,89,4,1,63811,11992.9
10000001,92,4,1,47359,6361.06
10000001,99,2,1,34853,6848.12
10000001,127,3,1,9752,2887.11
10000001,129,3,1,3552,1865.24
10000001,138,3,1,62961,8767.62
10000001,139,4,1,25491,6913.39
10000001,141,2,1,7347,3230.12
10000001,143,3,1,26233,5319.01
10000001,147,2,1,31763,6751.77
10000001,160,2,1,3229,1846.27
10000001,161,3,1,3417,2082.74
10000001,163,2,1,7938,3037.74
10000001,176,4,1,64179,6951.55
10000001,181,2,1,15920,5187.85
10000001,184,2,1,3372,2254.94
10000001,186,4,1,2745,1718.45
10000001,191,4,1,2524,1316.05
20250001,0,2,2,115138,22923.2
20250001,0,4,3,2940,1808.89
20250001,0,4,4,60117,15253.4
20250001,0,4,5,49839,14939.8
20250001,4,2,1,4041,2158.14
20250001,4,4,2,27878,5639.15
20250001,4,4,3,12004,3123.52
20250001,5,4,1,2892,2241.97
20250001,5,2,2,61784,12449.2
20250001,5,4,3,4670,2014.09
20250001,8,1,1,4765,2308.78
20250001,8,4,2,7394,1891.48
20250001,9,1,1,3934,2039.22
20250001,10,4,1,7120,3184.6
20250001,11,4,1,4665,2175.33
20250001,18,4,1,102812,9747.29
20250001,19,3,1,145196,28873
20250001,41,3,1,28663,4509.01
20250001,310,3,1,34686,10217.4
20250001,344,4,1,20676,5030.38
20250001,350,2,1,19660,5099.13
20250001,356,3,1,12711,4191.02
20250001,357,3,1,56382,13683
20250001,358,2,1,16823,7912.06
20250001,376,1,1,98888,10710.8
20250001,381,1,1,42503,12537
30914025,22,4,1,13648,3641.94
30914025,32,4,1,21408,3575.9
30914025,45,3,1,82151,11684.1
30914025,46,4,1,38177,4072.9
30914025,54,3,1,50307,10249.8
30914025,58,2,1,91679,9502.1
30914025,59,3,1,44012,5951.24
30914025,60,4,1,49636,9681.93
30914025,61,4,1,55626,9222.05
30914025,67,3,1,35459,6146.82
30914025,68,4,1,31412,4233
30914025,76,2,1,133931,16232.6
30914025,89,3,1,54776,9736.32
30914025,92,4,1,93209,12246.1
30914025,99,4,1,42940,9053.35
30914025,127,2,1,73915,13199.7
30914025,129,4,1,27814,5555.18
30914025,138,4,1,47073,11151.4
30914025,139,4,1,61290,11474.4
30914025,141,2,1,62823,11335.7
