UID,WID,Understand,attempt,time,distance,averageSpeed,maxSpeed,maxStopTime,xUTurnCount,yUTurnCount,thinkingTime,answeringTime,maxDDTime,DDCount,maxDDIntervalTime,totalDDIntervalTime
60911065,22,4,1,21505,4054.63,0.188544,3471.42,2877,12,10,2824,18681,1154,10,1867,7651
60911065,32,4,1,25233,3398.38,0.13468,1475.72,694,9,10,5744,19489,2400,8,1847,7694
60911065,45,3,1,48047,6202.7,0.129097,2112.98,7350,19,7,7551,40496,2009,10,8951,28284
60911065,46,4,1,34437,4921.64,0.142917,3509.17,2478,19,13,3541,30896,1504,9,6455,16695
60911065,54,4,1,39122,6213.16,0.158815,5023.91,3503,18,15,7785,31337,2377,9,3607,11791
60911065,58,4,1,16981,4381.17,0.258004,1719.9,1045,15,6,3643,13338,1159,9,1999,6611
60911065,59,4,1,20667,3513.11,0.169987,2315.43,959,14,8,5052,15615,1329,7,2648,8494
60911065,60,4,1,36194,4086.51,0.112906,3623.71,2590,12,11,5233,30961,6626,9,4432,11082
60911065,61,4,1,53544,7009.61,0.130913,3488.68,4737,25,13,1680,51864,1319,10,10185,37743
60911065,67,4,1,45734,5861.37,0.128162,5198.21,1129,25,5,14941,30793,2491,9,7914,15973
60911065,68,3,1,45166,5362.42,0.118727,3586.51,1896,18,10,5751,39415,1800,9,8677,18857
60911065,76,2,1,105759,7352.05,0.0695171,6765.66,20516,25,15,4304,101455,1865,9,33703,62970
60911065,89,4,1,56330,7449.2,0.132242,5396.22,3808,31,18,19627,36703,2282,13,11814,22640
60911065,92,4,1,72292,7361.25,0.101827,3408.17,12291,30,15,12452,59840,1728,10,18445,49126
60911065,99,3,1,67172,5661.02,0.0842765,4174.01,9013,23,12,13477,53695,1992,9,20927,38614
60911065,127,4,1,84036,10769,0.128147,10074,6738,39,26,11742,72294,2312,14,17409,43936
60911065,129,3,1,49464,4138.35,0.0836639,3326.21,10632,11,8,17183,32281,1379,9,10062,19718
60911065,138,4,1,14292,4034,0.282256,3032.44,315,15,12,2099,12193,548,9,2637,7109
60911065,139,3,1,81042,7757.82,0.0957259,7380.9,4744,26,15,4408,76634,1993,14,14865,59183
60911065,141,2,1,83171,9203.31,0.110655,7509.5,9597,46,24,14123,69048,2304,10,23088,47234
60911065,143,4,1,20833,3316.03,0.159172,494.866,1792,15,9,3441,17392,2410,8,3277,8979
60911065,147,2,1,208941,13494.5,0.0645853,11513.8,13056,41,35,24582,184359,3017,25,32567,156759
60911065,160,2,1,103671,12159.1,0.117286,11766.5,14892,34,19,5464,98207,2616,12,28943,68930
60911065,161,2,1,119388,16514.5,0.138327,15623.8,8266,44,40,23874,95514,1408,14,31882,74746
60911065,162,4,1,18784,2561.24,0.136352,1978.26,941,12,10,4207,14577,929,10,1640,8196
60911065,176,4,1,30719,4110.13,0.133798,3681.35,2725,15,13,3959,26760,1827,9,8702,17561
60911065,181,3,1,40797,6530.71,0.160078,4903.78,2968,21,12,2661,38136,2818,11,6342,22117
60911065,184,2,1,136743,9744.9,0.0712643,8735.17,7951,36,23,7313,129430,1865,15,40318,84660
60911065,186,3,1,50427,4717.5,0.0935511,3565.75,5751,15,14,12539,37888,1826,10,6079,26184
60911065,191,2,1,118419,11496.2,0.0970806,10669.4,13472,36,30,10159,108260,3810,19,34556,81905
