UID,WID,Understand,attempt,time,distance,averageSpeed,maxSpeed,maxStopTime,stopcount,xUTurnCount,yUTurnCount,thinkingTime,answeringTime,maxDDTime,DDCount,maxDDIntervalTime,totalDDIntervalTime
0,0,2,1,13865,4475.93,0.322822,18.0278,316,0,17,17,2329,11536,818,6,3151,6690
60910014,22,4,1,13446,3114.37,0.231621,2584.32,257,0,6,11,1798,11648,970,7,1038,4835
60910014,32,3,1,22745,3568.55,0.156894,3034.97,4143,6,14,6,1304,21441,945,8,8584,14939
60910014,45,2,1,33278,5605.17,0.168435,4715.9,599,3,15,13,2454,30824,1187,11,5152,19814
60910014,46,4,1,24740,3286.16,0.132828,2377,1480,3,9,8,1711,23029,1040,7,5200,16555
60910014,54,4,1,19849,4747.68,0.23919,4330.22,378,0,13,11,2025,17824,1114,9,2007,8713
60910014,58,4,1,29744,4520.46,0.151979,2578.28,1292,3,11,10,10904,18840,1337,9,3590,11010
60910014,59,2,1,50064,4493,0.0897452,3947.48,4438,12,12,9,4122,45942,2825,8,18231,33744
60910014,60,4,1,26153,3500.96,0.133864,3072.21,2097,3,14,6,5009,21144,1177,8,7967,14510
60910014,61,3,1,31867,5121.79,0.160724,4740.15,2063,8,19,10,12107,19760,1770,9,1752,8302
60910014,67,4,1,12766,2959.89,0.231857,2490.36,254,0,15,5,2109,10657,865,7,1191,4986
60910014,68,4,1,19385,3887.64,0.200549,3390.29,404,0,11,8,3200,16185,1089,9,1735,8453
60910014,76,2,1,61051,4478.23,0.0733522,3781.34,6075,24,15,10,12907,48144,2601,8,11846,26931
60910014,89,2,1,65670,8867.1,0.135025,8519.82,5040,15,26,22,23678,41992,2226,13,10221,29127
60910014,92,4,1,23401,4281.52,0.182963,3584.03,1120,5,14,6,3850,19551,1551,9,3951,11373
60910014,99,4,1,26738,3843.55,0.143748,3339.04,2119,2,15,10,13385,13353,1065,8,1047,5869
60910014,127,2,1,89158,10740.4,0.120464,10425.6,1400,21,33,20,29758,59400,2203,14,7726,41372
60910014,129,4,1,24583,5317.49,0.216307,3134.22,1514,4,17,11,5742,18841,1514,10,1870,9516
