UID,WID,Understand,attempt,time,distance,totalStopTime
0,0,2,1,13865,4475.93,4003
60910014,22,4,1,13446,3114.37,2953
60910014,32,3,1,22745,3568.55,9632
60910014,45,2,1,33278,5605.17,7540
60910014,46,4,1,24740,3286.16,7110
60910014,54,4,1,19849,4747.68,3993
60910014,58,4,1,29744,4520.46,7433
60910014,59,2,1,50064,4493,19640
60910014,60,4,1,26153,3500.96,6710
60910014,61,3,1,31867,5121.79,10754
60910014,67,4,1,12766,2959.89,1834
60910014,68,4,1,19385,3887.64,4015
60910014,76,2,1,61051,4478.23,23358
60910014,89,2,1,65670,8867.1,21450
60910014,92,4,1,23401,4281.52,6283
60910014,99,4,1,26738,3843.55,8184
60910014,127,2,1,89158,10740.4,25275
60910014,129,4,1,24583,5317.49,6264
60910014,138,4,1,25267,3658.92,8431
60910014,139,2,1,51538,6989.96,17551
60910014,141,3,1,32019,5233.07,7357
60910014,143,4,1,12762,2688.38,1999
60910014,147,2,1,83833,9162,25648
60910014,160,3,1,39156,4812.08,15358
60910014,161,2,1,80080,10405.8,25894
60910014,162,4,1,18513,2823.49,3395
60910014,176,2,1,73803,7162.89,27886
60910014,181,4,1,42784,6234.33,11622
60910014,184,2,1,22985,4293.87,5518
60910014,186,4,1,27594,4931.94,8235
60910014,191,4,1,17458,3174.23,3597
60910022,22,4,1,14626,3850.34,3245
60910022,32,4,1,26465,4079.6,7971
60910022,45,2,1,27124,4621.88,8177
60910022,46,3,1,20588,3955.96,5848
60910022,54,3,1,58647,12287.3,17162
60910022,58,2,1,44988,7080.46,16992
60910022,59,2,1,23381,5373.11,6991
60910022,60,2,1,77974,6891.1,18630
60910022,61,4,1,27916,7335.61,7475
60910022,67,3,1,35709,8208.63,11626
60910022,68,3,1,23389,4398,5863
60910022,76,2,1,75093,11217.1,22358
60910022,89,2,1,52855,7314.12,26020
60910022,92,4,1,22369,5159.73,4956
60910022,99,2,1,54266,7661.13,22486
60910022,127,2,1,71154,8461.99,29144
60910022,129,2,1,43315,6775.67,11993
60910022,138,4,1,29824,5524.94,9321
60910022,139,2,1,42029,7703.69,14723
60910022,141,2,1,29917,5589.17,11956
60910022,143,4,1,18472,3497.27,4459
60910022,147,2,1,81857,13866.7,36975
60910022,160,2,1,77944,10835.5,24294
60910022,161,2,1,138968,12492.9,45915
60910022,162,4,1,18230,3645.31,2600
60910022,176,2,1,53118,6909.03,22086
60910022,181,2,1,32436,5794.59,8936
60910022,184,2,1,33178,5292.49,10892
60910022,186,2,1,34539,8172.95,10745
60910022,191,3,1,58366,7441.42,24285
60910046,22,4,1,13007,3722.53,2913
60910046,32,4,1,34366,5330.15,12118
60910046,45,2,1,45266,5482.55,20445
60910046,46,4,1,20086,4135.02,7001
60910046,54,4,1,25081,7426.13,4450
60910046,58,2,1,51888,7102.98,10048
60910046,59,4,1,17889,4196.36,4710
60910046,60,3,1,16185,3745.81,4246
60910046,61,3,1,48022,8848.27,16756
60910046,67,4,1,28184,5918.11,6871
60910046,68,3,1,40541,8824.27,11056
60910046,76,3,1,28251,4325.67,5299
60910046,89,3,1,165390,18966.7,59514
60910046,92,4,1,34192,6035.87,14298
60910046,99,3,1,39792,6182.3,11609
60910046,127,2,1,41454,6612.95,12190
60910046,129,2,1,34801,7173.17,12200
60910046,138,2,1,44516,5324.85,18449
60910046,139,2,1,45825,7701.48,12791
60910046,141,2,1,48788,7175.75,20327
60910046,143,4,1,13676,3284.51,3040
60910046,147,2,1,83831,12566,28772
60910046,160,2,1,46886,8519.45,14218
60910046,161,2,1,71304,12239.4,28483
60910046,162,3,1,27152,4704.6,9523
60910046,176,3,1,34319,6271.04,11208
60910046,181,3,1,33775,4398.03,12527
60910046,184,2,1,42104,5763.61,14588
60910046,186,3,1,44950,9881.63,9501
60910046,191,4,1,18212,4142.47,4435
60910103,22,4,1,15385,3687.71,3091
60910103,32,4,1,20273,3760.21,3766
60910103,45,3,1,87009,9227.59,37163
60910103,46,4,1,25744,3920.27,6246
60910103,54,3,1,37521,6424.86,14377
60910103,58,2,1,146677,18747.9,62945
60910103,59,4,1,30544,4192.83,9406
60910103,60,2,1,53458,5426.5,23007
60910103,61,3,1,30653,5605.58,6726
60910103,67,4,1,28201,4286.12,10086
60910103,68,3,1,29856,4286.66,10303
60910103,76,2,1,80112,6664.73,29099
60910103,89,3,1,83164,13466.8,32821
60910103,92,4,1,41728,4730.52,19563
60910103,99,4,1,40814,8579.06,12038
60910103,127,4,1,78229,10757.4,26954
60910103,129,4,1,22996,5279,6225
60910103,138,2,1,61968,6032.89,27567
60910103,139,3,1,63143,8660.95,23048
60910103,141,3,1,62360,9850.59,20130
60910103,143,4,1,17288,3290.28,4998
